date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2022-09-13,AD,34.0,0.0,,,46147.0,155.0,,300307.0
2022-09-13,AE,402.0,0.0,,325016.0,1021191.0,2342.0,,168522672.0
2022-09-13,AF,259.0,0.0,,,196663.0,7791.0,,994894.0
2022-09-15,AF_BAL,4.0,0.0,11.0,,8445.0,579.0,7781.0,
2022-09-15,AF_BAM,5.0,0.0,25.0,,4013.0,52.0,3902.0,
2022-09-15,AF_BDG,0.0,0.0,0.0,,2178.0,32.0,1870.0,
2022-09-15,AF_BDS,47.0,0.0,25.0,,4701.0,88.0,4464.0,
2022-09-15,AF_BGL,12.0,0.0,0.0,,4894.0,99.0,4703.0,
2020-07-19,AF_DAY,220.0,2.0,73.0,,469.0,3.0,101.0,
2022-09-15,AF_FRA,6.0,0.0,0.0,,2693.0,164.0,1692.0,
2022-09-15,AF_FYB,0.0,0.0,0.0,,2258.0,145.0,1802.0,
2022-09-15,AF_GHA,35.0,0.0,0.0,,5135.0,161.0,4542.0,
2022-09-15,AF_GHO,7.0,0.0,0.0,,3765.0,60.0,3373.0,
2022-09-15,AF_HEL,4.0,0.0,0.0,,4175.0,166.0,3713.0,
2020-07-19,AF_HER,409.0,30.0,1794.0,,5296.0,160.0,3751.0,
2020-07-19,AF_JOW,0.0,0.0,105.0,,196.0,6.0,188.0,
2022-09-15,AF_KAB,32.0,3.0,0.0,,31626.0,2384.0,30821.0,
2022-09-15,AF_KAN,13.0,0.0,0.0,,10853.0,257.0,10870.0,
2022-09-15,AF_KAP,14.0,0.0,64.0,,4498.0,89.0,3710.0,
2022-09-15,AF_KDZ,2.0,0.0,0.0,,5886.0,225.0,5534.0,
2022-09-15,AF_KHO,14.0,0.0,4.0,,1968.0,259.0,1591.0,
2022-09-15,AF_KNR,1.0,0.0,26.0,,2846.0,106.0,2414.0,
2022-09-15,AF_LAG,18.0,0.0,0.0,,3115.0,189.0,3433.0,
2022-09-15,AF_LOG,28.0,0.0,22.0,,3505.0,96.0,2994.0,
2022-09-15,AF_NAN,43.0,0.0,0.0,,16016.0,534.0,13711.0,
2020-07-19,AF_NIM,29.0,1.0,10.0,,374.0,8.0,314.0,
2020-07-19,AF_NUR,1.0,0.0,0.0,,75.0,0.0,17.0,
2020-07-19,AF_PAN,25.0,1.0,86.0,,285.0,16.0,208.0,
2022-09-15,AF_PAR,40.0,0.0,0.0,,5059.0,50.0,4306.0,
2020-07-19,AF_PIA,78.0,10.0,410.0,,1168.0,34.0,592.0,
2022-09-15,AF_PKA,16.0,0.0,0.0,,1679.0,53.0,1308.0,
2022-09-15,AF_SAM,5.0,0.0,0.0,,1763.0,73.0,1638.0,
2020-07-19,AF_SAR,0.0,0.0,0.0,,130.0,6.0,124.0,
2022-09-15,AF_TAK,32.0,0.0,30.0,,6545.0,233.0,5973.0,
2022-09-15,AF_URU,8.0,0.0,3.0,,1118.0,20.0,572.0,
2022-09-15,AF_WAR,21.0,0.0,56.0,,5988.0,215.0,5593.0,
2022-09-15,AF_ZAB,11.0,0.0,0.0,,2979.0,80.0,2094.0,
2022-09-13,AG,34.0,0.0,,,9008.0,145.0,,16700.0
2022-09-13,AI,5.0,0.0,,,3856.0,12.0,,51382.0
2022-09-13,AL,104.0,0.0,,957.0,330149.0,3586.0,,1613870.0
2022-09-13,AM,0.0,0.0,,1467.0,439302.0,8669.0,,3102267.0
2022-09-13,AO,0.0,0.0,,1459.0,103131.0,1917.0,,1618566.0
2022-09-13,AR,0.0,0.0,,4711.0,9697763.0,129830.0,,28250765.0
2022-06-04,AR_A,5.0,0.0,,38.0,157038.0,3442.0,,433092.0
2022-06-04,AR_A_007,0.0,0.0,,1.0,6680.0,135.0,,15848.0
2022-06-02,AR_A_014,0.0,0.0,,1.0,1418.0,23.0,,3168.0
2022-06-02,AR_A_021,0.0,0.0,,2.0,2902.0,71.0,,7027.0
2022-06-04,AR_A_028,5.0,0.0,,16.0,81937.0,1551.0,,221717.0
2022-06-04,AR_A_035,0.0,0.0,,1.0,5484.0,101.0,,13669.0
2022-06-04,AR_A_042,0.0,0.0,,2.0,2987.0,70.0,,7290.0
2022-06-04,AR_A_049,0.0,0.0,,2.0,5054.0,182.0,,15034.0
2022-06-04,AR_A_056,0.0,0.0,,5.0,10790.0,314.0,,39589.0
2022-06-02,AR_A_070,0.0,0.0,,1.0,788.0,21.0,,1830.0
2022-06-04,AR_A_077,0.0,0.0,,1.0,2392.0,27.0,,6628.0
2022-06-02,AR_A_098,0.0,0.0,,4.0,1546.0,48.0,,3720.0
2022-06-04,AR_A_105,0.0,0.0,,5.0,1146.0,19.0,,2738.0
2022-06-04,AR_A_112,0.0,0.0,,2.0,5920.0,111.0,,12818.0
2022-05-16,AR_A_119,0.0,0.0,,1.0,1011.0,7.0,,2481.0
2022-06-03,AR_A_126,0.0,0.0,,5.0,11633.0,391.0,,41371.0
2022-06-02,AR_A_133,0.0,0.0,,1.0,2475.0,59.0,,6825.0
2022-06-04,AR_A_140,0.0,0.0,,2.0,3514.0,89.0,,7565.0
2022-06-04,AR_A_147,0.0,0.0,,1.0,5294.0,161.0,,12950.0
2022-06-01,AR_A_154,0.0,0.0,,1.0,1047.0,22.0,,2303.0
2022-05-31,AR_A_161,0.0,0.0,,2.0,1221.0,16.0,,3945.0
2022-06-04,AR_B,541.0,0.0,,1437.0,3584055.0,60069.0,,9598138.0
2022-06-03,AR_B_007,1.0,0.0,,1.0,2116.0,27.0,,4719.0
2022-06-03,AR_B_014,2.0,0.0,,2.0,1852.0,30.0,,4127.0
2022-06-04,AR_B_021,1.0,0.0,,1.0,2836.0,35.0,,8448.0
2022-06-04,AR_B_028,14.0,0.0,,52.0,121359.0,2379.0,,312320.0
2022-06-04,AR_B_035,26.0,0.0,,49.0,86029.0,1570.0,,261998.0
2022-06-04,AR_B_042,1.0,0.0,,1.0,4397.0,56.0,,11887.0
2022-06-04,AR_B_049,3.0,0.0,,4.0,14947.0,274.0,,41453.0
2022-06-04,AR_B_056,4.0,0.0,,3.0,65476.0,930.0,,126247.0
2022-06-03,AR_B_063,4.0,0.0,,5.0,15188.0,236.0,,26066.0
2022-06-03,AR_B_070,4.0,0.0,,9.0,6088.0,122.0,,13348.0
2022-06-03,AR_B_077,0.0,0.0,,2.0,6217.0,93.0,,11648.0
2022-06-04,AR_B_084,1.0,0.0,,1.0,2547.0,47.0,,6122.0
2022-06-04,AR_B_091,5.0,0.0,,13.0,71694.0,1248.0,,173582.0
2022-06-04,AR_B_098,3.0,0.0,,7.0,21579.0,382.0,,51663.0
2022-06-04,AR_B_105,1.0,0.0,,1.0,11512.0,172.0,,41338.0
2022-06-04,AR_B_112,0.0,0.0,,1.0,10492.0,228.0,,27365.0
2022-06-03,AR_B_119,2.0,0.0,,3.0,6194.0,79.0,,12196.0
2022-06-04,AR_B_126,4.0,0.0,,7.0,26153.0,341.0,,60423.0
2022-06-04,AR_B_134,8.0,0.0,,14.0,12231.0,169.0,,31869.0
2022-06-03,AR_B_140,1.0,0.0,,2.0,3271.0,50.0,,7406.0
2022-06-03,AR_B_147,1.0,0.0,,2.0,4784.0,96.0,,11068.0
2022-06-04,AR_B_154,5.0,0.0,,6.0,2936.0,40.0,,4898.0
2022-06-04,AR_B_161,7.0,0.0,,7.0,3121.0,53.0,,8984.0
2022-06-04,AR_B_168,3.0,0.0,,3.0,1756.0,27.0,,3589.0
2022-06-03,AR_B_175,1.0,0.0,,1.0,5621.0,100.0,,10145.0
2022-06-04,AR_B_182,2.0,0.0,,4.0,7308.0,136.0,,12467.0
2022-06-03,AR_B_189,5.0,0.0,,14.0,3582.0,57.0,,6297.0
2022-06-03,AR_B_196,0.0,0.0,,1.0,2749.0,101.0,,6833.0
2022-06-04,AR_B_203,1.0,0.0,,1.0,9453.0,148.0,,22376.0
2022-06-04,AR_B_210,5.0,0.0,,25.0,14172.0,212.0,,33158.0
2022-06-04,AR_B_217,3.0,0.0,,8.0,8307.0,121.0,,18182.0
2022-06-04,AR_B_224,1.0,0.0,,2.0,17868.0,258.0,,41047.0
2022-06-02,AR_B_231,5.0,0.0,,5.0,4081.0,58.0,,9735.0
2022-06-04,AR_B_238,1.0,0.0,,1.0,4796.0,97.0,,9442.0
2022-06-04,AR_B_245,0.0,0.0,,6.0,15581.0,219.0,,33837.0
2022-06-04,AR_B_252,2.0,0.0,,7.0,54808.0,978.0,,141854.0
2022-06-04,AR_B_260,5.0,0.0,,15.0,84450.0,1121.0,,204737.0
2022-06-03,AR_B_266,1.0,0.0,,4.0,8040.0,91.0,,19640.0
2022-06-04,AR_B_270,3.0,0.0,,10.0,41339.0,544.0,,104892.0
2022-06-04,AR_B_274,4.0,0.0,,17.0,84249.0,1292.0,,203681.0
2022-06-04,AR_B_277,1.0,0.0,,1.0,2533.0,26.0,,5712.0
2022-06-02,AR_B_280,0.0,0.0,,2.0,6432.0,134.0,,14301.0
2022-06-03,AR_B_287,4.0,0.0,,3.0,2131.0,29.0,,5815.0
2022-06-03,AR_B_294,1.0,0.0,,1.0,3700.0,54.0,,6442.0
2022-06-01,AR_B_301,0.0,0.0,,1.0,3239.0,40.0,,6121.0
2022-05-27,AR_B_308,0.0,0.0,,1.0,513.0,3.0,,796.0
2022-06-04,AR_B_315,0.0,0.0,,2.0,5168.0,76.0,,10006.0
2022-06-03,AR_B_322,1.0,0.0,,1.0,2598.0,25.0,,6539.0
2022-06-03,AR_B_329,0.0,0.0,,2.0,3619.0,52.0,,8607.0
2022-05-31,AR_B_336,2.0,0.0,,2.0,776.0,4.0,,1973.0
2022-06-04,AR_B_343,4.0,0.0,,4.0,2574.0,25.0,,4586.0
2022-06-04,AR_B_351,1.0,0.0,,15.0,2202.0,63.0,,7126.0
2022-06-04,AR_B_357,6.0,0.0,,14.0,157002.0,2967.0,,342443.0
2022-06-04,AR_B_364,5.0,0.0,,12.0,22940.0,251.0,,54435.0
2022-06-04,AR_B_371,21.0,0.0,,54.0,103411.0,1870.0,,297726.0
2022-06-03,AR_B_385,2.0,0.0,,3.0,5001.0,96.0,,10426.0
2022-06-04,AR_B_392,1.0,0.0,,1.0,5752.0,180.0,,10239.0
2022-06-03,AR_B_399,0.0,0.0,,1.0,2282.0,36.0,,3463.0
2022-06-03,AR_B_406,0.0,0.0,,1.0,2578.0,42.0,,5204.0
2022-06-04,AR_B_408,4.0,0.0,,9.0,44431.0,820.0,,113365.0
2022-06-04,AR_B_410,9.0,0.0,,19.0,42316.0,765.0,,111003.0
2022-06-04,AR_B_412,8.0,0.0,,51.0,52120.0,1070.0,,144031.0
2022-06-04,AR_B_413,5.0,0.0,,7.0,27041.0,528.0,,61244.0
2022-06-04,AR_B_420,2.0,0.0,,14.0,17615.0,287.0,,47301.0
2022-06-04,AR_B_427,47.0,0.0,,164.0,292173.0,5349.0,,832708.0
2022-06-04,AR_B_434,17.0,0.0,,58.0,112907.0,1834.0,,325003.0
2022-06-04,AR_B_441,23.0,0.0,,55.0,165807.0,2800.0,,417508.0
2022-06-02,AR_B_448,1.0,0.0,,1.0,2775.0,28.0,,5639.0
2022-06-04,AR_B_455,1.0,0.0,,1.0,3240.0,88.0,,7242.0
2022-06-03,AR_B_462,3.0,0.0,,7.0,4420.0,122.0,,7854.0
2022-06-04,AR_B_469,4.0,0.0,,5.0,11298.0,157.0,,22735.0
2022-06-04,AR_B_476,1.0,0.0,,4.0,5389.0,74.0,,10425.0
2022-06-03,AR_B_483,4.0,0.0,,5.0,6134.0,108.0,,12063.0
2022-06-04,AR_B_490,19.0,0.0,,61.0,130939.0,1777.0,,394125.0
2022-06-04,AR_B_497,11.0,0.0,,17.0,25174.0,470.0,,60988.0
2022-06-04,AR_B_505,1.0,0.0,,0.0,4321.0,56.0,,7940.0
2022-06-03,AR_B_511,0.0,0.0,,1.0,2004.0,39.0,,4002.0
2022-06-04,AR_B_515,5.0,0.0,,10.0,69490.0,1385.0,,187609.0
2022-06-04,AR_B_518,0.0,0.0,,1.0,4994.0,98.0,,11429.0
2022-06-04,AR_B_525,3.0,0.0,,7.0,11539.0,179.0,,26843.0
2022-06-04,AR_B_532,2.0,0.0,,5.0,13986.0,200.0,,37806.0
2022-06-04,AR_B_539,7.0,0.0,,27.0,96242.0,1931.0,,239505.0
2022-06-03,AR_B_547,6.0,0.0,,6.0,5044.0,73.0,,10776.0
2022-06-03,AR_B_553,0.0,0.0,,1.0,1801.0,15.0,,5565.0
2022-06-04,AR_B_560,7.0,0.0,,23.0,95173.0,1480.0,,245887.0
2022-06-04,AR_B_568,18.0,0.0,,44.0,75777.0,1462.0,,225209.0
2022-06-04,AR_B_574,0.0,0.0,,1.0,3523.0,53.0,,6762.0
2022-06-04,AR_B_581,5.0,0.0,,14.0,21974.0,293.0,,47580.0
2022-06-04,AR_B_588,7.0,0.0,,8.0,11744.0,258.0,,24041.0
2022-06-04,AR_B_595,6.0,0.0,,6.0,20295.0,347.0,,54546.0
2022-06-04,AR_B_602,0.0,0.0,,1.0,6155.0,138.0,,16214.0
2022-06-03,AR_B_609,0.0,0.0,,9.0,8944.0,154.0,,17518.0
2022-06-03,AR_B_616,6.0,0.0,,8.0,1485.0,23.0,,3631.0
2022-06-04,AR_B_623,3.0,0.0,,9.0,27426.0,492.0,,53443.0
2022-06-01,AR_B_630,2.0,0.0,,2.0,665.0,11.0,,1355.0
2022-06-04,AR_B_638,36.0,0.0,,38.0,94066.0,920.0,,342840.0
2022-06-04,AR_B_644,0.0,0.0,,1.0,9047.0,78.0,,21726.0
2022-06-03,AR_B_648,2.0,0.0,,12.0,16421.0,207.0,,40559.0
2022-06-03,AR_B_651,3.0,0.0,,3.0,3761.0,59.0,,6990.0
2022-06-03,AR_B_655,7.0,0.0,,8.0,1941.0,22.0,,4960.0
2022-06-04,AR_B_658,22.0,0.0,,62.0,136302.0,2720.0,,336195.0
2022-06-04,AR_B_665,1.0,0.0,,1.0,6615.0,104.0,,12792.0
2022-06-03,AR_B_672,1.0,0.0,,4.0,4373.0,42.0,,7432.0
2022-06-03,AR_B_679,2.0,0.0,,2.0,2563.0,44.0,,5653.0
2022-06-03,AR_B_686,6.0,0.0,,12.0,5294.0,79.0,,11138.0
2022-06-04,AR_B_693,2.0,0.0,,9.0,4599.0,46.0,,9903.0
2022-06-03,AR_B_700,1.0,0.0,,1.0,4356.0,79.0,,8858.0
2022-06-04,AR_B_707,1.0,0.0,,2.0,9325.0,136.0,,20758.0
2022-06-04,AR_B_714,0.0,0.0,,1.0,6185.0,135.0,,13669.0
2022-06-02,AR_B_721,1.0,0.0,,1.0,1426.0,30.0,,2143.0
2022-06-03,AR_B_728,0.0,0.0,,2.0,5484.0,99.0,,14877.0
2022-06-04,AR_B_735,0.0,0.0,,1.0,5566.0,61.0,,11621.0
2022-06-04,AR_B_742,1.0,0.0,,1.0,1749.0,40.0,,4028.0
2022-06-04,AR_B_749,3.0,0.0,,6.0,39967.0,765.0,,120408.0
2022-06-04,AR_B_756,13.0,0.0,,40.0,83401.0,1195.0,,326677.0
2022-06-04,AR_B_760,9.0,0.0,,47.0,72930.0,1144.0,,225860.0
2022-06-03,AR_B_763,9.0,0.0,,12.0,27649.0,636.0,,58464.0
2022-06-04,AR_B_770,2.0,0.0,,3.0,11992.0,248.0,,35646.0
2022-06-04,AR_B_778,1.0,0.0,,4.0,16823.0,216.0,,44129.0
2022-06-03,AR_B_784,13.0,0.0,,13.0,2663.0,37.0,,4948.0
2022-06-04,AR_B_791,5.0,0.0,,28.0,35605.0,478.0,,89713.0
2022-06-04,AR_B_798,4.0,0.0,,4.0,2741.0,31.0,,5494.0
2022-06-04,AR_B_805,10.0,0.0,,29.0,91516.0,1250.0,,292089.0
2022-05-28,AR_B_812,1.0,0.0,,1.0,297.0,2.0,,733.0
2022-06-02,AR_B_819,2.0,0.0,,2.0,2573.0,41.0,,5113.0
2022-06-04,AR_B_826,0.0,0.0,,1.0,14657.0,200.0,,42941.0
2022-06-04,AR_B_833,4.0,0.0,,5.0,10916.0,239.0,,22924.0
2022-06-04,AR_B_840,28.0,0.0,,71.0,92051.0,1560.0,,261201.0
2022-06-04,AR_B_847,1.0,0.0,,1.0,1878.0,19.0,,3672.0
2022-06-04,AR_B_854,0.0,0.0,,1.0,7503.0,131.0,,18074.0
2022-06-04,AR_B_861,13.0,0.0,,49.0,72356.0,1055.0,,300656.0
2022-06-04,AR_B_868,3.0,0.0,,8.0,7119.0,89.0,,19809.0
2022-06-03,AR_B_875,0.0,0.0,,2.0,3296.0,65.0,,6249.0
2022-06-04,AR_B_882,13.0,0.0,,32.0,29592.0,435.0,,76903.0
2022-06-04,AR_C,751.0,0.0,,2123.0,1073764.0,12603.0,,5361760.0
2022-06-04,AR_C_001,23.0,0.0,,68.0,42911.0,390.0,,195406.0
2022-06-04,AR_C_002,12.0,0.0,,40.0,28504.0,278.0,,156878.0
2022-06-04,AR_C_003,14.0,0.0,,58.0,34850.0,393.0,,149631.0
2022-06-04,AR_C_004,7.0,0.0,,31.0,43198.0,454.0,,180998.0
2022-06-04,AR_C_005,18.0,0.0,,56.0,35262.0,317.0,,161913.0
2022-06-04,AR_C_006,30.0,0.0,,84.0,35751.0,322.0,,175699.0
2022-06-04,AR_C_007,30.0,0.0,,91.0,39583.0,454.0,,175896.0
2022-06-04,AR_C_008,13.0,0.0,,34.0,31391.0,313.0,,127831.0
2022-06-04,AR_C_009,25.0,0.0,,48.0,26295.0,303.0,,112626.0
2022-06-04,AR_C_010,19.0,0.0,,65.0,28910.0,332.0,,128913.0
2022-06-04,AR_C_011,41.0,0.0,,105.0,30007.0,286.0,,144052.0
2022-06-04,AR_C_012,37.0,0.0,,103.0,35630.0,325.0,,184640.0
2022-06-04,AR_C_013,36.0,0.0,,102.0,48939.0,414.0,,280008.0
2022-06-04,AR_C_014,35.0,0.0,,88.0,44901.0,354.0,,248639.0
2022-06-04,AR_C_015,27.0,0.0,,74.0,35421.0,305.0,,166987.0
2022-06-04,AR_D,10.0,0.0,,51.0,134899.0,1602.0,,363846.0
2022-06-03,AR_D_007,0.0,0.0,,1.0,3961.0,63.0,,13275.0
2022-06-02,AR_D_014,0.0,0.0,,1.0,1053.0,21.0,,3307.0
2022-06-04,AR_D_021,0.0,0.0,,9.0,3769.0,56.0,,11096.0
2022-06-04,AR_D_028,0.0,0.0,,1.0,4641.0,77.0,,13964.0
2022-06-04,AR_D_035,3.0,0.0,,5.0,40383.0,527.0,,102898.0
2022-05-30,AR_D_042,2.0,0.0,,3.0,2925.0,58.0,,7962.0
2022-06-04,AR_D_049,0.0,0.0,,2.0,8308.0,112.0,,21066.0
2022-06-04,AR_D_056,7.0,0.0,,34.0,69061.0,677.0,,187598.0
2022-05-27,AR_D_063,0.0,0.0,,1.0,764.0,8.0,,2586.0
2022-06-04,AR_E,10.0,1.0,,35.0,200959.0,2813.0,,356116.0
2022-06-03,AR_E_008,1.0,0.0,,2.0,13417.0,98.0,,20668.0
2022-06-03,AR_E_015,2.0,0.0,,7.0,24767.0,339.0,,49277.0
2022-06-04,AR_E_021,0.0,0.0,,2.0,7166.0,95.0,,13504.0
2022-06-03,AR_E_028,1.0,0.0,,5.0,9479.0,119.0,,15335.0
2022-06-04,AR_E_035,1.0,0.0,,1.0,2561.0,54.0,,4816.0
2022-06-03,AR_E_042,1.0,0.0,,2.0,1333.0,27.0,,2523.0
2022-06-04,AR_E_049,0.0,1.0,,2.0,6997.0,141.0,,14441.0
2022-06-04,AR_E_056,1.0,0.0,,8.0,27141.0,341.0,,42375.0
2022-06-04,AR_E_063,0.0,0.0,,1.0,2186.0,24.0,,4640.0
2022-06-04,AR_E_070,0.0,0.0,,2.0,7618.0,119.0,,12987.0
2022-06-04,AR_E_077,0.0,0.0,,1.0,4150.0,81.0,,7999.0
2022-06-04,AR_E_084,8.0,0.0,,18.0,62564.0,893.0,,110627.0
2022-06-03,AR_E_088,0.0,0.0,,2.0,2713.0,22.0,,3717.0
2022-06-02,AR_E_091,0.0,0.0,,1.0,4102.0,44.0,,6913.0
2022-06-03,AR_E_098,1.0,0.0,,3.0,14652.0,196.0,,25614.0
2022-06-03,AR_E_105,1.0,0.0,,2.0,4824.0,102.0,,10519.0
2022-06-02,AR_E_113,0.0,0.0,,2.0,5218.0,116.0,,9767.0
2022-06-04,AR_F,3.0,0.0,,4.0,56770.0,1043.0,,176861.0
2022-05-30,AR_F_007,0.0,0.0,,3.0,3068.0,50.0,,8377.0
2022-06-04,AR_F_014,3.0,0.0,,4.0,31267.0,558.0,,101533.0
2022-06-03,AR_F_021,0.0,0.0,,1.0,794.0,11.0,,2290.0
2022-05-31,AR_F_028,0.0,0.0,,2.0,1651.0,30.0,,5048.0
2022-06-01,AR_F_035,0.0,0.0,,1.0,2571.0,58.0,,7113.0
2022-06-03,AR_F_042,1.0,0.0,,2.0,7333.0,187.0,,21410.0
2022-05-31,AR_F_049,0.0,0.0,,1.0,1190.0,13.0,,3561.0
2022-06-01,AR_F_056,0.0,0.0,,1.0,533.0,12.0,,1826.0
2022-05-29,AR_F_063,0.0,0.0,,1.0,1207.0,23.0,,3980.0
2022-05-30,AR_F_070,0.0,0.0,,1.0,570.0,9.0,,1777.0
2022-05-31,AR_F_077,0.0,0.0,,1.0,301.0,3.0,,1140.0
2022-05-30,AR_F_084,2.0,0.0,,3.0,1187.0,21.0,,3621.0
2022-06-03,AR_F_091,0.0,0.0,,1.0,560.0,7.0,,1989.0
2022-05-26,AR_F_098,0.0,0.0,,1.0,519.0,3.0,,1648.0
2022-05-29,AR_F_105,0.0,0.0,,1.0,376.0,9.0,,1227.0
2022-05-29,AR_F_112,0.0,0.0,,1.0,2266.0,30.0,,6329.0
2022-05-31,AR_F_119,0.0,0.0,,1.0,805.0,1.0,,2070.0
2022-06-03,AR_F_126,0.0,0.0,,1.0,527.0,15.0,,1756.0
2022-06-03,AR_G,12.0,0.0,,49.0,124185.0,1345.0,,361312.0
2022-05-20,AR_G_007,0.0,0.0,,1.0,898.0,15.0,,1894.0
2022-06-03,AR_G_014,0.0,0.0,,1.0,951.0,26.0,,3090.0
2022-06-01,AR_G_021,0.0,0.0,,3.0,978.0,14.0,,3164.0
2022-06-02,AR_G_028,0.0,0.0,,2.0,1405.0,26.0,,5372.0
2022-06-03,AR_G_035,1.0,0.0,,10.0,22448.0,242.0,,59481.0
2022-06-03,AR_G_042,1.0,0.0,,3.0,858.0,12.0,,2542.0
2022-06-03,AR_G_049,8.0,0.0,,18.0,64971.0,507.0,,173777.0
2022-06-02,AR_G_056,0.0,0.0,,1.0,1578.0,41.0,,5838.0
2022-06-02,AR_G_063,0.0,0.0,,1.0,4043.0,45.0,,12076.0
2022-06-03,AR_G_070,0.0,0.0,,1.0,1036.0,17.0,,3588.0
2022-06-02,AR_G_077,0.0,0.0,,3.0,2709.0,33.0,,8982.0
2022-06-01,AR_G_084,0.0,0.0,,1.0,646.0,6.0,,2141.0
2022-06-01,AR_G_091,0.0,0.0,,1.0,953.0,20.0,,3473.0
2022-06-03,AR_G_098,1.0,0.0,,1.0,1299.0,21.0,,4006.0
2022-06-03,AR_G_105,1.0,0.0,,1.0,1549.0,28.0,,5845.0
2022-03-17,AR_G_112,0.0,0.0,,2.0,91.0,0.0,,194.0
2022-06-02,AR_G_119,0.0,0.0,,1.0,1934.0,26.0,,6161.0
2022-06-03,AR_G_126,0.0,0.0,,1.0,1143.0,8.0,,6364.0
2022-06-02,AR_G_133,0.0,0.0,,1.0,1404.0,18.0,,5168.0
2022-06-03,AR_G_140,0.0,0.0,,2.0,903.0,5.0,,3577.0
2022-06-03,AR_G_147,0.0,0.0,,5.0,5356.0,87.0,,19853.0
2022-06-03,AR_G_154,0.0,0.0,,1.0,540.0,4.0,,1285.0
2022-06-03,AR_G_161,0.0,0.0,,1.0,4004.0,93.0,,14254.0
2022-06-03,AR_G_168,0.0,0.0,,2.0,599.0,7.0,,2528.0
2022-06-03,AR_G_175,0.0,0.0,,1.0,815.0,16.0,,2874.0
2022-06-02,AR_G_182,0.0,0.0,,1.0,371.0,12.0,,1063.0
2022-06-01,AR_G_189,0.0,0.0,,1.0,588.0,16.0,,2327.0
2022-06-04,AR_H,1.0,0.0,,4.0,167600.0,2654.0,,614053.0
2022-06-02,AR_H_007,0.0,0.0,,1.0,2557.0,46.0,,8720.0
2022-06-02,AR_H_014,0.0,0.0,,1.0,3512.0,47.0,,18255.0
2022-06-03,AR_H_021,0.0,0.0,,3.0,14131.0,217.0,,53836.0
2022-06-02,AR_H_028,0.0,0.0,,1.0,3053.0,80.0,,8036.0
2022-06-02,AR_H_036,0.0,0.0,,2.0,2440.0,54.0,,7462.0
2022-05-24,AR_H_039,0.0,0.0,,1.0,1262.0,24.0,,3351.0
2022-05-31,AR_H_043,0.0,0.0,,1.0,1120.0,31.0,,3255.0
2022-06-03,AR_H_049,0.0,0.0,,1.0,831.0,27.0,,2396.0
2022-06-01,AR_H_056,0.0,0.0,,1.0,2029.0,26.0,,6854.0
2022-06-03,AR_H_063,0.0,0.0,,3.0,6444.0,53.0,,22450.0
2022-06-02,AR_H_070,0.0,0.0,,2.0,1498.0,36.0,,5526.0
2022-06-01,AR_H_077,1.0,0.0,,1.0,2453.0,30.0,,8967.0
2022-06-03,AR_H_084,0.0,0.0,,1.0,4607.0,100.0,,17832.0
2022-06-03,AR_H_091,1.0,0.0,,1.0,2430.0,36.0,,7765.0
2022-06-04,AR_H_098,0.0,0.0,,1.0,8174.0,166.0,,24942.0
2022-05-30,AR_H_105,0.0,0.0,,1.0,3570.0,55.0,,8984.0
2022-05-31,AR_H_112,0.0,0.0,,1.0,2379.0,40.0,,7045.0
2022-06-03,AR_H_119,0.0,0.0,,1.0,1091.0,23.0,,2535.0
2022-06-02,AR_H_126,0.0,0.0,,1.0,1928.0,35.0,,7728.0
2022-06-04,AR_H_133,0.0,0.0,,1.0,3140.0,56.0,,11669.0
2022-06-04,AR_H_140,1.0,0.0,,2.0,93495.0,1365.0,,355753.0
2022-05-28,AR_H_147,0.0,0.0,,2.0,951.0,25.0,,4135.0
2022-06-03,AR_H_154,0.0,0.0,,2.0,1413.0,24.0,,4733.0
2022-05-23,AR_H_161,1.0,0.0,,1.0,557.0,7.0,,1430.0
2022-06-01,AR_H_168,0.0,0.0,,1.0,2411.0,51.0,,9711.0
2022-06-04,AR_J,69.0,0.0,,72.0,148204.0,1242.0,,438730.0
2022-06-04,AR_J_007,1.0,0.0,,1.0,5041.0,36.0,,13894.0
2022-06-04,AR_J_014,2.0,0.0,,2.0,1615.0,12.0,,4445.0
2022-06-04,AR_J_021,1.0,0.0,,1.0,1352.0,13.0,,4570.0
2022-06-04,AR_J_028,14.0,0.0,,16.0,26474.0,221.0,,88517.0
2022-06-03,AR_J_035,1.0,0.0,,1.0,5576.0,83.0,,14200.0
2022-06-04,AR_J_042,3.0,0.0,,3.0,18521.0,136.0,,53321.0
2022-06-04,AR_J_049,2.0,0.0,,2.0,2091.0,9.0,,6874.0
2022-06-04,AR_J_056,3.0,0.0,,3.0,4228.0,57.0,,10710.0
2022-06-01,AR_J_063,1.0,0.0,,1.0,1655.0,12.0,,4547.0
2022-06-04,AR_J_070,4.0,0.0,,5.0,10734.0,83.0,,29348.0
2022-06-04,AR_J_077,21.0,0.0,,21.0,26727.0,227.0,,75610.0
2022-06-04,AR_J_084,12.0,0.0,,12.0,21155.0,148.0,,66277.0
2022-06-01,AR_J_091,1.0,0.0,,1.0,1922.0,8.0,,4783.0
2022-06-04,AR_J_098,6.0,0.0,,6.0,12079.0,97.0,,37704.0
2022-06-03,AR_J_105,1.0,0.0,,1.0,3081.0,33.0,,8277.0
2022-06-03,AR_J_112,0.0,0.0,,1.0,1008.0,4.0,,2459.0
